,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
12,8,0.0010697470524764553,22,9,10086,4848,12,1,0,3496,467,11,4848,39,15,3518,52,39,166,0,166,574,1041
16,9,0.0010056071139953578,5,10,10651,6057,13,1,0,530,160,11,6057,35,2,535,24,35,55,430,485,130,290
17,10,0.0012446921529341293,5,11,4234,6815,13,1,0,1740,331,11,6815,643,12,1745,30,643,193,1452,1645,749,1080
18,16,0.0010735755261867589,10,17,5623,7991,13,1,0,5284,347,11,7991,21,12,5294,122,21,165,1293,1458,733,1080
13,17,0.0010587591361745502,5,18,3903,8122,14,1,0,59,193,11,8122,58,12,64,1,58,138,1208,1346,887,1080
14,18,0.0012081018833751058,3,19,4108,8456,14,1,0,1157,189,11,8456,64,12,1160,12,64,133,1146,1279,891,1080
15,19,0.0012374627823479422,30,20,10086,8701,14,1,0,3488,201,11,8701,25,15,3518,27,25,161,1250,1411,876,1077
6,20,0.0007760515787950089,38,21,19389,10715,2,1,0,599,111,11,10715,64,7,637,5,64,35,289,324,128,239
7,21,0.0005972518511132965,7,22,15063,11224,2,1,0,2205,388,11,11224,59,4,2212,37,59,180,869,1049,692,1080
8,22,0.0009892292604531967,9,23,15119,11319,2,1,0,2301,213,11,11319,93,4,2310,43,93,133,676,809,867,1080
9,23,0.0014835145183000164,15,24,13071,11648,2,1,0,2946,571,11,11648,58,3,2961,65,58,234,166,400,509,1080
10,25,0.0010576645349160366,1,26,15580,11857,2,1,0,3221,180,11,11857,80,4,3222,73,80,107,1030,1137,900,1080
11,26,0.0012267564665338466,6,27,15646,11948,2,1,0,3220,140,11,11948,90,4,3226,76,90,96,558,654,940,1080
5,41,0.0007802832207318606,1,42,12121,15956,4,1,0,4984,399,11,15956,54,2,4985,169,54,183,1015,1198,681,1080
2,46,0.000985102103767504,45,47,2600,18367,6,1,0,2966,195,11,18367,42,10,3011,51,42,71,766,837,187,382
3,49,0.0006506185025292856,9,50,18011,19576,7,1,0,1302,623,11,19576,87,6,1311,20,87,240,1673,1913,452,1075
4,52,0.000861886990336664,9,53,18476,20943,7,1,0,3075,402,11,20943,33,6,3084,75,33,95,1825,1920,678,1080
0,56,0.0013005332050285555,3,57,1683,21773,9,1,0,1064,520,11,21773,68,10,1067,10,68,225,404,629,560,1080
1,57,0.0008383931700531683,1,58,1653,21848,9,1,0,1060,534,11,21848,69,10,1061,12,69,213,182,395,546,1080
19,69,0.0007258759923703265,2,70,65955,25197,10,1,0,306,467,13,25197,50,9,308,10,50,191,786,977,613,1080
45,74,0.0013709084981948876,13,75,25914,30129,11,1,0,2436,610,13,30129,75,10,2449,5,75,166,1754,1920,279,889
35,77,0.0014106427861062126,5,78,33463,31118,12,1,0,2070,597,13,31118,72,13,2075,35,72,257,79,336,483,1080
36,79,0.0007594600775835987,7,80,33631,31283,12,1,0,2231,487,13,31283,25,13,2238,56,25,239,672,911,593,1080
37,83,0.0011552969434692893,11,84,34400,31743,12,1,0,3697,345,13,31743,32,13,3708,79,32,207,242,449,735,1080
44,88,0.0010876961597732775,5,89,36324,33747,13,1,0,2280,337,13,33747,32,14,2285,101,32,159,634,793,743,1080
38,91,0.001401199109825001,10,92,32405,35988,14,1,0,387,465,13,35988,39,13,397,3,39,119,1801,1920,611,1076
39,92,0.0009109259744403645,3,93,33631,36242,14,1,0,2235,297,13,36242,24,13,2238,26,24,88,1832,1920,783,1080
40,93,0.001455715103608094,42,94,52006,36347,14,1,0,2308,438,13,36347,23,5,2350,30,23,77,0,77,393,831
41,94,0.0009210949668716973,1,95,31389,36434,14,1,0,2528,105,13,36434,84,12,2529,33,84,76,1236,1312,975,1080
42,96,0.0008822541115793693,11,97,34400,36554,14,1,0,3697,422,13,36554,31,13,3708,48,31,153,1767,1920,639,1061
43,97,0.0011983734044242855,4,98,35824,37674,14,1,0,5545,415,13,37674,35,13,5549,99,35,80,1840,1920,661,1076
30,104,0.000703245103939879,2,105,47636,39972,2,1,0,344,75,13,39972,58,4,346,2,58,54,487,541,1005,1080
31,105,0.0007788130894947075,1,106,47945,40503,2,1,0,893,113,13,40503,80,4,894,35,80,77,745,822,967,1080
33,108,0.0004980185418987815,2,109,48274,40974,2,1,0,1882,379,13,40974,62,4,1884,59,62,186,1104,1290,701,1080
34,110,0.0009556994301697703,1,111,48749,41558,2,1,0,2540,93,13,41558,81,4,2541,88,81,68,1304,1372,987,1080
26,116,0.0012867701707001227,4,117,40511,48102,4,1,0,1360,357,13,48102,66,2,1364,42,66,203,1068,1271,723,1080
27,118,0.001352645784654606,4,119,41184,48418,4,1,0,1982,281,13,48418,91,2,1986,58,91,162,1298,1460,794,1075
28,119,0.0006259754973028192,3,120,41254,48575,4,1,0,2142,250,13,48575,69,2,2145,69,69,167,958,1125,830,1080
29,120,0.0005720431570341273,2,121,41406,48736,4,1,0,2347,104,13,48736,69,2,2349,95,69,74,1221,1295,976,1080
22,154,0.001337488185818731,4,155,58298,55599,6,1,0,475,372,13,55599,52,7,479,18,52,169,857,1026,708,1080
23,176,0.0010870799230211768,16,177,56601,61387,7,1,0,3411,412,13,61387,148,6,3427,133,148,109,1811,1920,552,964
24,177,0.0005919743855105769,2,178,52865,61457,7,1,0,3419,433,13,61457,69,5,3421,135,69,213,951,1164,647,1080
25,184,0.0007583066465294897,5,185,55117,65315,7,1,0,5359,320,13,65315,94,5,5364,252,94,193,1154,1347,760,1080
20,185,0.0010743972002504095,7,186,25209,66072,9,1,0,420,585,13,66072,57,10,427,8,57,209,324,533,495,1080
21,188,0.0010040765262094408,4,189,28709,67066,9,1,0,4210,430,13,67066,73,10,4214,111,73,207,24,231,650,1080
46,193,0.0011464130889670481,4,194,86261,69022,10,1,0,179,503,15,69022,55,9,183,4,55,186,685,871,577,1080
