,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
4,0,0.0014723188543392992,47,1,12496,65,1,1,0,512,207,11,65,35,3,559,6,35,72,1265,1337,205,412
1,2,0.0013924983819337095,1,3,6733,2048,10,1,0,3620,210,11,2048,88,13,3621,59,88,186,991,1177,868,1078
9,8,0.0014857025146280635,4,9,4966,3191,12,1,0,567,440,11,3191,82,13,571,3,82,193,0,193,640,1080
10,11,0.0012683721487488464,4,12,7445,4389,12,1,0,5045,349,11,4389,28,13,5049,62,28,198,156,354,731,1080
11,13,0.001492809397459318,7,14,7627,4618,12,1,0,5863,355,11,4618,26,13,5870,75,26,240,357,597,725,1080
12,17,0.0010904277770583844,3,18,3469,7878,14,1,0,1330,229,11,7878,65,12,1333,11,65,146,1252,1398,851,1080
8,27,0.000744676314293398,3,28,16798,12064,2,1,0,5813,278,11,12064,72,4,5816,96,72,128,811,939,802,1080
5,31,0.0006918865517984231,16,32,16058,13574,3,1,0,2959,121,11,13574,49,4,2975,59,49,91,1001,1092,959,1080
6,33,0.0012234763400413278,45,34,17253,15464,4,1,0,1890,450,11,15464,22,5,1935,35,22,266,1615,1881,622,1072
7,34,0.001007302421353251,1,35,11036,15550,4,1,0,2197,285,11,15550,68,2,2198,41,68,168,646,814,795,1080
2,42,0.0014835916862758467,43,43,2289,17900,5,1,0,4272,240,11,17900,20,10,4315,56,20,165,1644,1809,840,1080
3,44,0.0011965701355979414,5,45,19532,18095,5,1,0,5075,577,11,18095,20,6,5080,68,20,194,0,194,503,1080
25,50,0.0014876562744875555,27,51,27306,22842,1,1,0,1670,147,13,22842,37,12,1697,5,37,101,557,658,933,1080
26,52,0.0012912823278768872,27,53,34910,22977,1,1,0,2155,236,13,22977,29,3,2182,13,29,93,1260,1353,194,430
29,58,0.0014812904837089365,5,59,39651,23326,1,1,0,3193,228,13,23326,40,6,3198,28,40,75,1238,1313,171,399
30,60,0.0014112243036226938,14,61,25808,23375,1,1,0,3202,208,13,23375,48,10,3216,29,48,124,252,376,872,1080
32,62,0.0014203379140305039,4,63,25868,23443,1,1,0,3201,87,13,23443,32,10,3205,31,32,81,650,731,993,1080
16,66,0.001419958244253532,7,67,43811,24081,10,1,0,22,199,13,24081,21,9,29,5,21,74,945,1019,458,657
17,67,0.0013614594085204006,3,68,44247,25057,10,1,0,1431,232,13,25057,90,9,1434,38,90,141,960,1101,846,1078
18,68,0.001359233383985661,24,69,35915,26608,10,1,0,4122,248,13,26608,61,3,4146,118,61,144,934,1078,832,1080
13,85,0.0009299885857136443,34,86,25808,32083,15,1,0,3182,186,13,32083,37,10,3216,29,37,54,1301,1355,150,336
14,87,0.0014207636198020628,14,88,25722,32144,15,1,0,3182,204,13,32144,28,10,3196,30,28,52,1341,1393,144,348
33,95,0.0012640010876513509,48,96,23165,35442,3,1,0,3093,103,13,35442,80,1,3141,43,80,35,329,364,133,236
34,96,0.0014127084460473734,41,97,26279,35849,3,1,0,3825,248,13,35849,69,10,3866,63,69,78,205,283,180,428
20,103,0.0013030809685481554,13,104,39366,37734,5,1,0,2661,322,13,37734,26,6,2674,38,26,216,26,242,758,1080
21,105,0.0014324996782521804,6,106,42257,38017,5,1,0,3759,240,13,38017,22,7,3765,68,22,173,1536,1709,840,1080
22,109,0.0011061071638158154,41,110,25197,39261,6,1,0,1437,116,13,39261,70,10,1478,48,70,37,276,313,111,227
23,111,0.0008844697758619072,41,112,23467,39863,6,1,0,3398,122,13,39863,48,1,3439,103,48,45,273,318,116,238
24,112,0.0010442493677275339,9,113,32205,39909,6,1,0,3434,146,13,39909,43,15,3443,104,43,49,701,750,148,294
19,118,0.0012847134340166124,22,119,27196,43810,9,1,0,144,119,13,43810,117,12,166,4,117,35,473,508,131,250
