,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
0,9,0.0013873803844411873,5,10,47462,11264,10,1,0,2702,364,11,11264,46,9,2707,89,46,187,628,815,716,1080
1,11,0.0014808454676345539,27,12,48313,12327,10,1,0,3602,285,11,12327,29,9,3629,112,29,278,1248,1526,787,1072
2,14,0.001442633164130728,2,15,48637,12608,10,1,0,3741,376,11,12608,76,9,3743,118,76,172,1170,1342,704,1080
3,16,0.001449853610108417,19,17,48914,13536,10,1,0,5378,384,11,13536,62,9,5397,156,62,208,831,1039,696,1080
4,17,0.0014305089877103714,20,18,48893,13583,10,1,0,5374,238,11,13583,27,9,5394,158,27,136,1645,1781,842,1080
27,19,0.0014468769039048216,8,20,16997,14730,12,1,0,1304,375,11,14730,27,13,1312,4,27,225,209,434,705,1080
28,21,0.0009660442046017481,2,22,26804,14874,12,1,0,1616,603,11,14874,74,3,1618,11,74,232,301,533,477,1080
17,38,0.0012801516470215134,1,39,29550,23036,2,1,0,633,170,11,23036,60,4,634,5,60,105,80,185,910,1080
18,39,0.0008363383889253553,1,40,29714,23186,2,1,0,1301,183,11,23186,59,4,1302,13,59,128,917,1045,897,1080
19,40,0.001002852050693171,8,41,29888,23237,2,1,0,1409,312,11,23237,48,4,1417,14,48,157,861,1018,768,1080
20,41,0.0007462104808665357,3,42,29819,23367,2,1,0,1401,320,11,23367,59,4,1404,25,59,162,733,895,760,1080
21,44,0.0009046310168502165,4,45,30357,24258,2,1,0,2536,238,11,24258,45,4,2540,73,45,164,954,1118,842,1080
22,45,0.0008903918721206893,2,46,30726,25268,2,1,0,3603,172,11,25268,70,4,3605,112,70,120,1234,1354,908,1080
23,46,0.0011977900948092713,3,47,30910,25580,2,1,0,4485,187,11,25580,65,4,4488,119,65,125,1059,1184,893,1080
24,47,0.0006456029222531897,2,48,30967,25655,2,1,0,4524,164,11,25655,71,4,4526,127,71,115,644,759,916,1080
25,48,0.0005725335746386282,2,49,31033,25711,2,1,0,4525,514,11,25711,37,4,4527,130,37,192,1025,1217,566,1080
26,49,0.0011147423747501796,2,50,31229,25990,2,1,0,5338,297,11,25990,63,4,5340,142,63,143,1082,1225,783,1080
15,52,0.001466865098078759,5,53,18825,28264,3,1,0,3204,165,11,28264,173,13,3209,68,173,47,487,534,178,343
16,54,0.0010773560128340958,10,55,26319,29538,4,1,0,206,448,11,29538,25,3,216,11,25,165,1755,1920,612,1060
5,58,0.0012701994247256874,9,59,35908,31750,5,1,0,1672,585,11,31750,46,6,1681,25,46,102,0,102,470,1055
7,61,0.0013031207507716734,13,62,38981,32316,5,1,0,3601,400,11,32316,35,6,3614,78,35,212,92,304,680,1080
8,63,0.0007846845380338963,6,64,43509,32812,5,1,0,5127,388,11,32812,55,7,5133,108,55,188,950,1138,692,1080
9,66,0.0012576340606583213,9,67,39680,32991,5,1,0,5331,543,11,32991,27,6,5340,123,27,148,0,148,537,1080
10,71,0.001005548405346706,11,72,43266,39201,6,1,0,4343,347,11,39201,87,7,4354,162,87,172,1219,1391,733,1080
11,78,0.001314982034337069,10,79,37007,42286,7,1,0,2479,589,11,42286,37,6,2489,94,37,264,1656,1920,476,1065
12,79,0.0013685059979912735,6,80,37657,42373,7,1,0,2904,381,11,42373,62,6,2910,108,62,145,1775,1920,699,1080
13,80,0.0014256729437576122,28,81,12432,42739,7,1,0,3605,360,11,42739,27,10,3633,126,27,172,1748,1920,720,1080
14,90,0.0008877604218975836,19,91,13636,44034,7,1,0,5467,593,11,44034,25,10,5486,189,25,237,1578,1815,487,1080
30,105,0.0008704846514038532,5,106,82168,50786,10,1,0,123,573,13,50786,26,9,128,7,26,201,661,862,507,1080
31,106,0.0013876802073497455,4,107,82255,51450,10,1,0,386,282,13,51450,72,9,390,28,72,142,749,891,798,1080
32,110,0.0013669972635070382,11,111,83169,54050,10,1,0,2946,246,13,54050,59,9,2957,129,59,123,602,725,834,1080
64,116,0.0009535613383932119,40,117,54240,55101,11,1,0,2980,242,13,55101,45,10,3020,19,45,173,658,831,838,1080
61,124,0.0013773517421470398,2,125,60512,57006,12,1,0,5508,582,13,57006,58,13,5510,109,58,222,130,352,498,1080
63,129,0.0010812389231679004,3,130,56242,59523,13,1,0,2395,165,13,59523,20,12,2398,94,20,90,1629,1719,915,1080
62,145,0.0007995134228883727,4,146,59594,61844,14,1,0,3002,451,13,61844,24,13,3006,63,24,223,1180,1403,629,1080
56,150,0.0009940547658284532,9,151,68239,64606,2,1,0,331,490,13,64606,47,3,340,8,47,202,0,202,590,1080
57,154,0.0008680461397424733,2,155,72126,65879,2,1,0,2176,224,13,65879,27,4,2178,60,27,143,738,881,856,1080
58,155,0.0010341827665793831,43,156,80308,66105,2,1,0,2274,112,13,66105,67,7,2317,71,67,37,300,337,133,245
59,158,0.0007180536863564638,2,159,72718,66329,2,1,0,2653,408,13,66329,61,4,2655,84,61,189,961,1150,672,1080
60,159,0.001013661855631012,37,160,73782,67144,2,1,0,4796,477,13,67144,66,4,4833,125,66,191,1034,1225,603,1080
43,161,0.001290826703244684,7,162,60612,67886,3,1,0,82,118,13,67886,64,14,89,2,64,35,325,360,159,277
44,170,0.0006462269141721381,3,171,64703,70645,4,1,0,539,138,13,70645,77,2,542,24,77,87,1318,1405,942,1080
45,172,0.001351052513526728,27,173,68328,70976,4,1,0,971,98,13,70976,205,3,998,37,205,94,1325,1419,982,1080
46,174,0.0010376468909210825,1,175,68791,71360,4,1,0,1288,504,13,71360,69,3,1289,81,69,222,1639,1861,576,1080
47,175,0.0012409935125367673,2,176,65207,71437,4,1,0,1385,76,13,71437,76,2,1387,82,76,62,1008,1070,1004,1080
48,177,0.0012665426116841665,16,178,65692,71869,4,1,0,1929,245,13,71869,62,2,1945,112,62,142,1243,1385,835,1080
49,178,0.0007722357011155829,3,179,65971,72060,4,1,0,2185,411,13,72060,64,2,2188,125,64,197,601,798,669,1080
50,179,0.000585153228055456,6,180,66694,73268,4,1,0,4073,102,13,73268,92,2,4079,178,92,87,654,741,977,1079
51,180,0.0009373685222603598,37,181,66850,73299,4,1,0,4085,636,13,73299,30,2,4122,183,30,221,1420,1641,442,1078
52,181,0.00040495855435989666,6,182,66938,73412,4,1,0,4258,169,13,73412,76,2,4264,191,76,106,1062,1168,911,1080
53,182,0.0012384260191671832,9,183,67002,73709,4,1,0,4647,113,13,73709,134,2,4656,196,134,100,1113,1213,964,1077
54,183,0.000513626002059492,4,184,67711,74158,4,1,0,5521,362,13,74158,56,2,5525,217,56,166,943,1109,718,1080
55,184,0.000953566821621102,6,185,67764,74231,4,1,0,5643,98,13,74231,72,2,5649,220,72,77,1322,1399,982,1080
35,195,0.001274228386375185,7,196,76111,74446,5,1,0,741,503,13,74446,31,6,748,15,31,151,0,151,577,1080
36,203,0.0014493110954559069,2,204,79807,76889,6,1,0,1704,184,13,76889,23,7,1706,66,23,137,1288,1425,896,1080
37,208,0.0012167465355060964,3,209,75292,78086,6,1,0,3679,393,13,78086,42,5,3682,119,42,205,1278,1483,687,1080
39,212,0.0014263290702880352,9,213,75526,78615,7,1,0,275,675,13,78615,34,6,284,5,34,301,1001,1302,405,1080
40,219,0.0010639250232326834,41,220,65391,79878,7,1,0,1777,109,13,79878,71,2,1818,68,71,35,1618,1653,67,176
41,221,0.00103596787998184,36,222,53223,80785,7,1,0,2594,553,13,80785,40,10,2630,107,40,140,1780,1920,527,1080
42,222,0.0012019527258586107,10,223,78339,81990,7,1,0,5731,611,13,81990,63,6,5741,197,63,243,1548,1791,469,1080
33,226,0.0009500064426250113,12,227,54240,83264,9,1,0,3008,555,13,83264,35,10,3020,66,35,174,0,174,525,1080
65,234,0.0014222223788693887,5,235,112242,84890,10,1,0,1059,487,15,84890,57,9,1064,10,57,183,743,926,593,1080
79,249,0.0014098898857849845,15,250,90913,88724,12,1,0,718,391,15,88724,27,13,733,10,27,204,715,919,689,1080
80,251,0.0012337981577775188,19,252,91118,89076,12,1,0,1569,420,15,89076,47,13,1588,38,47,226,287,513,656,1076
83,259,0.0012790638583582805,6,260,92948,91258,13,1,0,1728,307,15,91258,140,14,1734,25,140,182,1017,1199,773,1080
81,261,0.0010737623084059668,16,262,91118,92947,14,1,0,1572,406,15,92947,46,13,1588,22,46,284,1627,1911,674,1080
82,262,0.0009163200868982516,7,263,91263,92991,14,1,0,1777,493,15,92991,43,13,1784,23,43,191,1729,1920,586,1079
78,268,0.0014455307893086102,4,269,98942,96054,2,1,0,1235,238,15,96054,51,4,1239,19,51,138,766,904,842,1080
70,276,0.0014772753997632296,19,277,84982,101840,5,1,0,1066,488,15,101840,32,10,1085,18,32,123,0,123,383,871
71,281,0.001255394111395666,14,282,105500,102343,5,1,0,1689,460,15,102343,34,6,1703,40,34,241,39,280,620,1080
72,286,0.00147842014049958,4,287,106338,103956,5,1,0,3588,606,15,103956,27,6,3592,86,27,235,0,235,474,1080
73,296,0.0012093606848364651,6,297,109154,105380,6,1,0,1515,253,15,105380,68,7,1521,50,68,131,1264,1395,827,1080
74,300,0.0011970384518085893,3,301,110638,106288,6,1,0,3427,258,15,106288,48,7,3430,115,48,173,1139,1312,822,1080
75,301,0.0014843610740340365,45,302,89773,106629,6,1,0,4455,292,15,106629,32,12,4500,155,32,103,211,314,198,490
76,311,0.0010811114675727067,11,312,105500,109243,7,1,0,1692,448,15,109243,30,6,1703,50,30,153,1767,1920,610,1058
77,313,0.0013578173875234375,9,314,106399,111186,7,1,0,3830,504,15,111186,37,6,3839,120,37,222,1698,1920,538,1042
66,315,0.0011425222243285572,3,316,85151,112418,9,1,0,1336,576,15,112418,42,10,1339,15,42,268,171,439,504,1080
