,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
0,14,0.001181949649764335,1,15,37455,2748,10,1,0,627,109,11,2748,33,9,628,19,33,97,1797,1894,971,1080
1,15,0.0012990587710227858,12,16,35630,2960,10,1,0,1235,108,11,2960,86,7,1247,27,86,35,200,235,217,325
2,16,0.0010154172093755276,10,17,38234,3527,10,1,0,2837,288,11,3527,79,9,2847,61,79,158,905,1063,792,1080
3,18,0.0008696202448488763,10,19,38302,3651,10,1,0,2838,344,11,3651,93,9,2848,66,93,154,1094,1248,736,1080
21,34,0.0013509681565609885,12,35,20465,9879,13,1,0,1326,148,11,9879,45,2,1338,32,45,48,526,574,163,311
20,60,0.0014442397123200284,47,61,5819,20350,2,1,0,432,533,11,20350,40,12,479,4,40,209,176,385,547,1080
15,70,0.0009691394552191066,6,71,20465,23053,3,1,0,1332,262,11,23053,130,2,1338,38,130,124,847,971,818,1080
16,72,0.0009540263545668476,7,73,20822,24124,3,1,0,2183,509,11,24124,27,2,2190,63,27,214,704,918,571,1080
17,83,0.0012137828854707749,10,84,22571,30270,4,1,0,854,551,11,30270,73,3,864,15,73,232,1606,1838,529,1080
18,90,0.0010184170619798438,48,91,21902,31166,4,1,0,4899,481,11,31166,48,2,4947,132,48,207,1713,1920,599,1080
19,91,0.0008786458524584459,1,92,22005,31305,4,1,0,5435,235,11,31305,60,2,5436,144,60,139,1161,1300,845,1080
6,95,0.0014248105247313427,21,96,33266,31630,5,1,0,2765,376,11,31630,32,6,2786,82,32,217,259,476,704,1080
7,97,0.0013423719507562304,20,98,11885,31759,5,1,0,3387,339,11,31759,21,13,3407,97,21,126,1794,1920,394,733
8,103,0.0012481450887966024,28,104,35630,32956,6,1,0,1219,206,11,32956,73,7,1247,21,73,121,912,1033,874,1080
9,106,0.0010658533251521887,5,107,31975,34170,6,1,0,4995,498,11,34170,39,5,5000,133,39,222,1068,1290,582,1080
11,109,0.0008776614569218216,2,110,32077,35041,6,1,0,5735,263,11,35041,73,5,5737,165,73,154,1032,1186,817,1080
13,116,0.0013001897506335967,1,117,33327,36069,7,1,0,2779,419,11,36069,50,6,2780,45,50,247,1673,1920,659,1078
14,117,0.0014421606114367715,22,118,33266,36101,7,1,0,2764,358,11,36101,31,6,2786,46,31,223,1271,1494,722,1080
4,119,0.0008362994444847067,2,120,2874,37775,9,1,0,1147,463,11,37775,82,10,1149,36,82,160,51,211,531,994
