,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
14,10,0.0005178806092758401,5,11,28558,3999,11,1,0,773,429,11,3999,24,9,778,3,24,242,999,1241,651,1080
15,11,0.0014724579091454132,5,12,1883,4058,11,1,0,1862,539,11,4058,58,10,1867,4,58,177,1743,1920,541,1080
16,12,0.0011651759787096524,13,13,2327,4094,11,1,0,2807,644,11,4094,31,10,2820,9,31,221,1699,1920,298,942
13,20,0.0011390271810149805,1,21,17069,10261,14,1,0,939,555,11,10261,53,3,940,17,53,222,1543,1765,525,1080
9,27,0.0006260471099243256,1,28,20208,15626,2,1,0,2066,140,11,15626,63,4,2067,27,63,92,522,614,940,1080
11,30,0.001047204028363751,9,31,17657,15888,2,1,0,2281,503,11,15888,51,3,2290,50,51,200,168,368,577,1080
12,31,0.001463538521896051,3,32,20671,16164,2,1,0,4251,294,11,16164,74,4,4254,68,74,156,742,898,786,1080
3,32,0.001473855277184275,7,33,19465,16636,3,1,0,54,442,11,16636,39,4,61,1,39,226,1423,1649,638,1080
4,36,0.0013420929937562715,1,37,20895,19051,3,1,0,5174,141,11,19051,50,4,5175,143,50,101,811,912,939,1080
5,38,0.0013937856861063812,3,39,21002,19157,3,1,0,5481,298,11,19157,30,4,5484,148,30,137,852,989,782,1080
6,39,0.0009511796788305657,2,40,15136,19823,4,1,0,909,237,11,19823,104,2,911,25,104,139,234,373,843,1080
7,40,0.0005802211640373012,2,41,15678,20146,4,1,0,1940,220,11,20146,66,2,1942,53,66,150,997,1147,860,1080
8,41,0.0005470078873255615,5,42,15893,20443,4,1,0,2627,109,11,20443,86,2,2632,76,86,88,1208,1296,971,1080
1,60,0.00042391330599338237,5,61,23467,28175,7,1,0,4966,228,11,28175,65,5,4971,75,65,154,881,1035,852,1080
2,61,0.0011490936205996052,40,62,3431,28203,7,1,0,4943,389,11,28203,27,10,4983,76,27,184,1041,1225,691,1080
0,62,0.0007942820894266781,14,63,3818,29190,9,1,0,5350,453,11,29190,84,10,5364,73,84,236,98,334,627,1080
