,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
1,7,0.0014774901750971802,16,8,15670,1969,10,1,0,2648,371,11,1969,57,3,2664,63,57,171,676,847,709,1080
2,12,0.001360844244034967,22,13,16319,2270,10,1,0,3847,123,11,2270,40,3,3869,87,40,38,254,292,224,347
14,16,0.0014165975388933064,29,17,6582,4468,12,1,0,713,138,11,4468,97,13,742,7,97,38,348,386,133,271
15,19,0.0011915942695886195,3,20,8452,5277,12,1,0,3194,332,11,5277,27,13,3197,66,27,217,734,951,748,1080
16,22,0.0012208474474323652,9,23,11018,8427,13,1,0,3132,381,11,8427,56,14,3141,93,56,171,825,996,699,1080
17,23,0.0008809079452898461,35,24,2646,9018,13,1,0,4582,109,11,9018,73,10,4617,125,73,37,330,367,137,246
0,29,0.0011378488487708966,43,30,2156,12256,15,1,0,3029,125,11,12256,49,10,3072,9,49,42,1174,1216,117,242
13,30,0.001453312373885682,49,31,10091,12841,2,1,0,952,77,11,12841,77,14,1001,11,77,60,1609,1669,1003,1080
11,34,0.001366848632946244,33,35,21355,16371,3,1,0,3921,228,11,16371,52,6,3954,92,52,78,276,354,196,424
12,36,0.0014687432658857605,4,37,14057,17396,3,1,0,5118,462,11,17396,47,2,5122,131,47,233,1079,1312,618,1080
6,44,0.0014803778834689518,6,45,21294,19768,5,1,0,3880,388,11,19768,24,6,3886,65,24,199,7,206,691,1079
7,45,0.0013928323452762708,10,46,21620,19789,5,1,0,4616,468,11,19789,20,6,4626,66,20,258,512,770,612,1080
8,47,0.0013498022582155585,1,48,725,20124,6,1,0,450,233,11,20124,26,10,451,9,26,69,230,299,153,386
10,53,0.0014722650756482235,35,54,12697,22898,7,1,0,764,106,11,22898,96,2,799,17,96,35,1615,1650,106,212
3,60,0.0014922360588032885,1,61,17883,24875,9,1,0,947,97,11,24875,95,4,948,25,95,35,471,506,100,197
5,62,0.001453500968862266,15,63,1552,25084,9,1,0,2099,476,11,25084,83,10,2114,40,83,189,453,642,604,1080
19,75,0.0013136112289919364,47,76,39655,28754,10,1,0,3218,132,13,28754,46,15,3265,67,46,74,1846,1920,943,1075
21,82,0.0011646273109103002,6,83,54263,30350,10,1,0,4345,122,13,30350,61,7,4351,110,61,35,141,176,237,359
18,111,0.0012732181395877214,7,112,31829,39385,15,1,0,1602,295,13,39385,44,12,1609,27,44,100,1337,1437,232,527
28,140,0.0006170983731432128,1,141,52469,48278,5,1,0,866,222,13,48278,65,7,867,10,65,148,613,761,858,1080
29,143,0.0009693671889086539,30,144,54627,49269,5,1,0,5086,224,13,49269,42,7,5116,94,42,54,1866,1920,338,562
30,147,0.0011204393701672653,49,148,26863,49941,6,1,0,2477,128,13,49941,26,1,2526,65,26,43,279,322,109,237
31,150,0.0009423248009168498,49,151,32147,50094,6,1,0,3063,264,13,50094,22,12,3112,73,22,102,215,317,152,416
32,153,0.0005489395357878448,25,154,27044,50208,6,1,0,3238,103,13,50208,31,1,3263,78,31,35,301,336,121,224
34,157,0.0012251367753867975,36,158,39816,50423,6,1,0,3842,191,13,50423,35,15,3878,97,35,116,1116,1232,889,1080
35,161,0.0009849328180491406,42,162,44851,51615,6,1,0,5454,135,13,51615,24,3,5496,163,24,36,349,385,116,251
36,162,0.0010569194348594262,9,163,49411,51738,7,1,0,102,378,13,51738,45,6,111,1,45,157,1763,1920,700,1078
37,163,0.0013541251400837765,40,164,33348,51868,7,1,0,250,108,13,51868,66,13,290,9,66,35,1647,1682,87,195
26,171,0.0014495832259371812,2,172,31130,55083,9,1,0,310,303,13,55083,95,11,312,5,95,179,640,819,777,1080
27,178,0.0013176743180584372,14,179,37258,55348,9,1,0,2529,120,13,55348,58,14,2543,60,58,35,474,509,97,217
