,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
1,8,0.0010025319610253974,5,9,23024,1170,10,1,0,786,378,11,1170,24,9,791,9,24,179,854,1033,702,1080
25,10,0.0011677453794142385,7,11,1101,2542,11,1,0,369,696,11,2542,26,10,376,4,26,233,1687,1920,230,926
17,12,0.0013836398719771757,13,13,8337,3723,12,1,0,2810,406,11,3723,23,13,2823,48,23,184,0,184,656,1062
23,17,0.001036648873390626,5,18,10526,8479,13,1,0,2965,290,11,8479,142,14,2970,70,142,205,976,1181,786,1076
24,18,0.0014395692482518574,3,19,10760,8688,13,1,0,4067,142,11,8688,23,14,4070,93,23,111,1384,1495,938,1080
18,21,0.0011670000986515026,1,22,2853,10319,14,1,0,999,164,11,10319,66,12,1000,9,66,113,1021,1134,916,1080
19,22,0.0014378938578696516,1,23,14787,10407,14,1,0,1875,461,11,10407,59,3,1876,15,59,186,1715,1901,619,1080
20,24,0.0014471804822937945,7,25,8708,10828,14,1,0,4449,451,11,10828,24,13,4456,54,24,225,1059,1284,629,1080
21,26,0.0007364876398438187,5,27,9014,11159,14,1,0,4929,428,11,11159,32,13,4934,68,32,78,1842,1920,607,1035
22,29,0.0007608793745957707,8,30,9244,11212,14,1,0,4967,505,11,11212,23,13,4975,73,23,115,1805,1920,575,1080
0,32,0.00149061125920013,32,33,13725,12520,15,1,0,4664,132,11,12520,46,2,4696,66,46,43,1165,1208,111,243
15,33,0.0013885427165508221,4,34,14721,13003,2,1,0,1429,291,11,13003,37,3,1433,22,37,196,11,207,785,1076
16,35,0.0010751734282188443,43,36,22767,14317,2,1,0,5659,98,11,14317,117,7,5702,74,117,35,331,366,132,230
7,36,0.0014353715303050251,3,37,2642,14376,3,1,0,165,132,11,14376,32,12,168,3,32,35,370,405,148,280
8,37,0.0012640741699018118,5,38,13629,15234,3,1,0,2841,455,11,15234,66,2,2846,50,66,228,1074,1302,625,1080
9,38,0.0014291380804557653,36,39,598,15600,3,1,0,2940,186,11,15600,83,1,2976,70,83,65,556,621,186,372
10,41,0.0014185197693283393,7,42,14721,17407,4,1,0,1426,395,11,17407,44,3,1433,19,44,117,1803,1920,683,1078
11,42,0.0011589934518983847,8,43,13014,17466,4,1,0,1534,266,11,17466,58,2,1542,20,58,150,917,1067,814,1080
12,43,0.0013969573699950267,7,44,16448,18660,4,1,0,4949,366,11,18660,81,3,4956,82,81,124,1796,1920,714,1080
13,44,0.0011888667433102278,14,45,16619,18802,4,1,0,5141,414,11,18802,140,3,5155,86,140,205,1715,1920,660,1074
