frame_num,obj_id,camera,x1,y1,x2,y2
1,10_2_1,14,1594,188,1638,316
2,10_2_1,14,1593,184,1640,320
3,10_2_1,14,1592,186,1640,324
4,10_2_1,14,1591,185,1639,326
5,10_2_1,14,1590,187,1639,330
6,10_2_1,14,1591,190,1639,333
7,10_2_1,14,1591,191,1640,337
8,10_2_1,14,1589,193,1640,342
9,10_2_1,14,1588,193,1640,346
10,10_2_1,14,1586,193,1640,350
11,10_2_1,14,1585,195,1639,355
12,10_2_1,14,1584,195,1639,357
13,10_2_1,14,1582,196,1638,361
14,10_2_1,14,1580,199,1637,365
15,10_2_1,14,1577,200,1636,371
16,10_2_1,14,1573,201,1635,380
17,10_2_1,14,1572,202,1635,385
18,10_2_1,14,1571,203,1636,393
19,10_2_1,14,1569,206,1635,401
20,10_2_1,14,1566,205,1633,404
21,10_2_1,14,1564,206,1636,415
22,10_2_1,14,1563,209,1638,424
23,10_2_1,14,1561,210,1638,429
24,10_2_1,14,1557,214,1636,440
25,10_2_1,14,1553,216,1633,443
26,10_2_1,14,1551,218,1632,451
27,10_2_1,14,1549,222,1633,465
28,10_2_1,14,1548,224,1633,468
29,10_2_1,14,1547,230,1634,482
30,10_2_1,14,1543,234,1633,493
31,10_2_1,14,1543,238,1635,498
32,10_2_1,14,1542,244,1638,515
33,10_2_1,14,1543,247,1642,525
34,10_2_1,14,1539,250,1642,541
35,10_2_1,14,1533,253,1640,558
36,10_2_1,14,1528,252,1640,572
37,10_2_1,14,1522,262,1638,595
38,10_2_1,14,1515,266,1635,613
39,10_2_1,14,1507,273,1629,627
40,10_2_1,14,1500,284,1621,626
41,10_2_1,14,1486,285,1617,659
42,10_2_1,14,1478,297,1615,687
43,10_2_1,14,1467,305,1616,728
44,10_2_1,14,1459,314,1614,754
45,10_2_1,14,1446,327,1612,797
46,10_2_1,14,1437,339,1606,816
47,10_2_1,14,1426,353,1604,851
48,10_2_1,14,1416,379,1603,898
49,10_2_1,14,1411,388,1605,923
50,10_2_1,14,1391,413,1604,997
51,10_2_1,14,1373,431,1597,1039
52,10_2_1,14,1353,455,1584,1066
53,10_2_1,14,1343,493,1571,1080
54,10_2_1,14,1334,527,1558,1080
55,10_2_1,14,1319,578,1535,1079
56,10_2_1,14,1297,638,1506,1081
57,10_2_1,14,1269,714,1465,1078
58,10_2_1,14,1220,841,1379,1080
59,10_2_1,14,1208,887,1346,1095
64,10_2_1,12,314,366,545,955
65,10_2_1,12,298,338,528,924
66,10_2_1,12,290,329,515,907
67,10_2_1,12,288,308,499,855
68,10_2_1,12,289,296,488,813
69,10_2_1,12,288,284,475,774
70,10_2_1,12,291,275,462,725
71,10_2_1,12,289,262,451,695
72,10_2_1,12,290,253,441,656
73,10_2_1,12,287,247,431,639
74,10_2_1,12,282,243,423,631
75,10_2_1,12,282,232,413,596
76,10_2_1,12,282,230,407,577
