frame_num,obj_id,camera,x1,y1,x2,y2
9,13_5_2,7,1671,53,1693,106
10,13_5_2,7,1670,53,1692,106
11,13_5_2,7,1671,52,1693,106
12,13_5_2,7,1671,51,1694,106
13,13_5_2,7,1672,51,1695,106
14,13_5_2,7,1672,51,1695,106
15,13_5_2,7,1673,51,1696,107
16,13_5_2,7,1672,50,1697,108
17,13_5_2,7,1672,50,1696,109
18,13_5_2,7,1671,50,1696,109
19,13_5_2,7,1671,50,1696,109
20,13_5_2,7,1670,48,1697,111
21,13_5_2,7,1670,52,1695,110
22,13_5_2,7,1670,51,1697,113
23,13_5_2,7,1669,53,1695,113
24,13_5_2,7,1669,56,1694,114
25,13_5_2,7,1670,57,1693,113
26,13_5_2,7,1671,55,1696,115
27,13_5_2,7,1670,53,1696,115
28,13_5_2,7,1670,52,1695,114
29,13_5_2,7,1672,54,1697,115
30,13_5_2,7,1673,56,1697,115
31,13_5_2,7,1671,50,1698,116
32,13_5_2,7,1671,48,1699,115
33,13_5_2,7,1671,44,1700,114
34,13_5_2,7,1671,40,1701,115
35,13_5_2,7,1670,41,1701,117
36,13_5_2,7,1669,44,1700,121
37,13_5_2,7,1669,45,1700,122
38,13_5_2,7,1669,44,1700,124
39,13_5_2,7,1669,44,1700,125
40,13_5_2,7,1669,45,1701,127
41,13_5_2,7,1671,52,1700,125
42,13_5_2,7,1675,56,1701,126
43,13_5_2,7,1674,55,1700,124
44,13_5_2,7,1672,55,1698,124
45,13_5_2,7,1672,54,1699,124
46,13_5_2,7,1672,53,1698,124
47,13_5_2,7,1672,53,1698,124
48,13_5_2,7,1673,54,1699,124
49,13_5_2,7,1673,54,1698,124
50,13_5_2,7,1672,55,1698,124
51,13_5_2,7,1670,47,1699,127
52,13_5_2,7,1669,46,1699,128
53,13_5_2,7,1669,45,1699,128
54,13_5_2,7,1669,47,1699,128
55,13_5_2,7,1669,45,1699,128
56,13_5_2,7,1671,49,1700,129
57,13_5_2,7,1671,51,1699,130
58,13_5_2,7,1670,49,1700,129
