frame_num,x1,y1,x2,y2,track,hour,camera,w,h,track_length,max_track_len,departure,entrance
680,1585,158,1622,283,1,11,1,37,125,0,21,0,1
681,1575,156,1615,291,1,11,1,40,135,1,21,0,0
682,1565,156,1607,294,1,11,1,42,138,2,21,0,0
683,1553,158,1596,297,1,11,1,43,139,3,21,0,0
684,1541,157,1586,300,1,11,1,45,143,4,21,0,0
685,1529,158,1575,302,1,11,1,46,144,5,21,0,0
686,1519,156,1567,306,1,11,1,48,150,6,21,0,0
687,1510,159,1561,312,1,11,1,51,153,7,21,0,0
688,1498,158,1552,318,1,11,1,54,160,8,21,0,0
689,1486,160,1540,319,1,11,1,54,159,9,21,0,0
690,1474,165,1529,323,1,11,1,55,158,10,21,0,0
691,1460,165,1516,325,1,11,1,56,160,11,21,0,0
692,1449,166,1506,327,1,11,1,57,161,12,21,0,0
693,1437,169,1495,333,1,11,1,58,164,13,21,0,0
694,1420,164,1480,335,1,11,1,60,171,14,21,0,0
695,1409,169,1469,335,1,11,1,60,166,15,21,0,0
696,1383,168,1445,341,1,11,1,62,173,16,21,0,0
697,1361,168,1421,337,1,11,1,60,169,17,21,0,0
698,1338,171,1398,333,1,11,1,60,162,18,21,0,0
699,1308,171,1368,335,1,11,1,60,164,19,21,0,0
700,1281,171,1344,335,1,11,1,63,164,20,21,0,0
701,1264,171,1327,337,1,11,1,63,166,21,21,1,0
737,1581,142,1620,281,2,11,1,39,139,0,18,0,0
738,1568,141,1607,276,2,11,1,39,135,1,18,0,0
739,1558,140,1599,284,2,11,1,41,144,2,18,0,0
740,1546,142,1589,292,2,11,1,43,150,3,18,0,0
741,1532,142,1576,297,2,11,1,44,155,4,18,0,0
742,1518,144,1564,304,2,11,1,46,160,5,18,0,0
743,1505,144,1553,307,2,11,1,48,163,6,18,0,0
744,1492,145,1540,310,2,11,1,48,165,7,18,0,0
745,1481,148,1531,319,2,11,1,50,171,8,18,0,0
746,1460,147,1513,325,2,11,1,53,178,9,18,0,0
747,1442,148,1495,327,2,11,1,53,179,10,18,0,0
748,1421,145,1477,333,2,11,1,56,188,11,18,0,0
749,1403,148,1459,332,2,11,1,56,184,12,18,0,0
750,1372,148,1429,333,2,11,1,57,185,13,18,0,0
751,1344,148,1401,335,2,11,1,57,187,14,18,0,0
752,1315,148,1375,338,2,11,1,60,190,15,18,0,0
753,1277,148,1337,340,2,11,1,60,192,16,18,0,0
754,1262,183,1312,341,2,11,1,50,158,17,18,0,0
755,1242,187,1292,344,2,11,1,50,157,18,18,0,0
986,1261,212,1319,442,3,11,1,58,230,0,30,0,1
987,1264,209,1321,432,3,11,1,57,223,1,30,0,0
988,1275,207,1333,430,3,11,1,58,223,2,30,0,0
989,1293,217,1352,441,3,11,1,59,224,3,30,0,0
990,1310,219,1373,449,3,11,1,63,230,4,30,0,0
991,1324,222,1391,463,3,11,1,67,241,5,30,0,0
992,1340,228,1412,480,3,11,1,72,252,6,30,0,0
993,1346,228,1424,494,3,11,1,78,266,7,30,0,0
994,1346,239,1429,521,3,11,1,83,282,8,30,0,0
995,1349,241,1436,530,3,11,1,87,289,9,30,0,0
996,1351,249,1445,551,3,11,1,94,302,10,30,0,0
997,1354,258,1455,574,3,11,1,101,316,11,30,0,0
998,1348,260,1452,583,3,11,1,104,323,12,30,0,0
999,1338,279,1446,612,3,11,1,108,333,13,30,0,0
1000,1329,290,1441,630,3,11,1,112,340,14,30,0,0
1001,1318,300,1442,668,3,11,1,124,368,15,30,0,0
1002,1306,319,1442,708,3,11,1,136,389,16,30,0,0
1003,1290,327,1429,720,3,11,1,139,393,17,30,0,0
1004,1264,349,1413,772,3,11,1,149,423,18,30,0,0
1005,1242,366,1396,802,3,11,1,154,436,19,30,0,0
1006,1215,375,1391,863,3,11,1,176,488,20,30,0,0
1007,1189,401,1382,919,3,11,1,193,518,21,30,0,0
1008,1176,417,1380,959,3,11,1,204,542,22,30,0,0
1009,1155,460,1371,1033,3,11,1,216,573,23,30,0,0
1010,1122,496,1345,1071,3,11,1,223,575,24,30,0,0
1011,1103,532,1333,1080,3,11,1,230,548,25,30,0,0
1012,1087,596,1312,1080,3,11,1,225,484,26,30,0,0
1013,1055,639,1273,1080,3,11,1,218,441,27,30,0,0
1014,1025,746,1206,1080,3,11,1,181,334,28,30,0,0
1015,959,857,1100,1080,3,11,1,141,223,29,30,0,0
1016,941,902,1065,1080,3,11,1,124,178,30,30,1,0
1707,1261,164,1319,428,5,11,1,58,264,0,37,0,1
1708,1272,170,1331,436,5,11,1,59,266,1,37,0,0
1709,1284,171,1344,436,5,11,1,60,265,2,37,0,0
1710,1301,170,1365,445,5,11,1,64,275,3,37,0,0
1711,1309,175,1378,459,5,11,1,69,284,4,37,0,0
1712,1313,176,1385,464,5,11,1,72,288,5,37,0,0
1713,1317,183,1393,479,5,11,1,76,296,6,37,0,0
1714,1329,188,1410,493,5,11,1,81,305,7,37,0,0
1715,1339,188,1426,506,5,11,1,87,318,8,37,0,0
1716,1341,193,1434,521,5,11,1,93,328,9,37,0,0
1717,1338,194,1437,538,5,11,1,99,344,10,37,0,0
1718,1334,194,1438,551,5,11,1,104,357,11,37,0,0
1719,1334,205,1443,572,5,11,1,109,367,12,37,0,0
1720,1337,209,1451,587,5,11,1,114,378,13,37,0,0
1721,1333,211,1453,602,5,11,1,120,391,14,37,0,0
1722,1320,223,1445,628,5,11,1,125,405,15,37,0,0
1723,1306,226,1437,643,5,11,1,131,417,16,37,0,0
1724,1293,232,1435,677,5,11,1,142,445,17,37,0,0
1725,1285,242,1435,706,5,11,1,150,464,18,37,0,0
1726,1273,249,1428,720,5,11,1,155,471,19,37,0,0
1727,1249,257,1416,762,5,11,1,167,505,20,37,0,0
1728,1229,269,1400,784,5,11,1,171,515,21,37,0,0
1729,1208,277,1387,807,5,11,1,179,530,22,37,0,0
1730,1191,289,1388,864,5,11,1,197,575,23,37,0,0
1731,1179,304,1387,897,5,11,1,208,593,24,37,0,0
1732,1147,316,1366,934,5,11,1,219,618,25,37,0,0
1733,1118,335,1348,981,5,11,1,230,646,26,37,0,0
1734,1080,347,1323,1029,5,11,1,243,682,27,37,0,0
1735,1048,371,1295,1059,5,11,1,247,688,28,37,0,0
1736,1019,406,1265,1078,5,11,1,246,672,29,37,0,0
1737,982,430,1227,1080,5,11,1,245,650,30,37,0,0
1738,943,466,1186,1080,5,11,1,243,614,31,37,0,0
1739,894,517,1130,1080,5,11,1,236,563,32,37,0,0
1740,850,553,1083,1077,5,11,1,233,524,33,37,0,0
1741,804,620,1029,1080,5,11,1,225,460,34,37,0,0
1742,760,712,964,1078,5,11,1,204,366,35,37,0,0
1743,683,802,856,1074,5,11,1,173,272,36,37,0,0
1744,652,848,802,1080,5,11,1,150,232,37,37,1,0
2277,1593,157,1658,281,7,11,1,65,124,0,29,0,1
2278,1593,155,1662,287,7,11,1,69,132,1,29,0,0
2279,1581,158,1650,290,7,11,1,69,132,2,29,0,0
2280,1564,155,1634,291,7,11,1,70,136,3,29,0,0
2281,1549,152,1620,290,7,11,1,71,138,4,29,0,0
2282,1542,151,1611,289,7,11,1,69,138,5,29,0,0
2283,1535,154,1605,295,7,11,1,70,141,6,29,0,0
2284,1541,156,1610,299,7,11,1,69,143,7,29,0,0
2285,1545,154,1609,291,7,11,1,64,137,8,29,0,0
2286,1542,153,1606,294,7,11,1,64,141,9,29,0,0
2287,1538,154,1599,295,7,11,1,61,141,10,29,0,0
2288,1530,154,1595,306,7,11,1,65,152,11,29,0,0
2289,1526,157,1590,314,7,11,1,64,157,12,29,0,0
2290,1523,158,1584,311,7,11,1,61,153,13,29,0,0
2291,1518,160,1578,317,7,11,1,60,157,14,29,0,0
2292,1509,161,1571,323,7,11,1,62,162,15,29,0,0
2293,1501,159,1563,327,7,11,1,62,168,16,29,0,0
2294,1489,164,1551,330,7,11,1,62,166,17,29,0,0
2295,1477,164,1538,331,7,11,1,61,167,18,29,0,0
2296,1462,167,1522,333,7,11,1,60,166,19,29,0,0
2297,1446,166,1510,334,7,11,1,64,168,20,29,0,0
2298,1425,163,1489,335,7,11,1,64,172,21,29,0,0
2299,1405,167,1467,335,7,11,1,62,168,22,29,0,0
2300,1386,164,1451,339,7,11,1,65,175,23,29,0,0
2301,1360,166,1422,333,7,11,1,62,167,24,29,0,0
2302,1339,167,1399,330,7,11,1,60,163,25,29,0,0
2303,1319,170,1380,331,7,11,1,61,161,26,29,0,0
2304,1288,171,1349,334,7,11,1,61,163,27,29,0,0
2305,1267,173,1327,333,7,11,1,60,160,28,29,0,0
2306,1250,174,1309,334,7,11,1,59,160,29,29,1,0
2284,1532,156,1576,306,9,11,1,44,150,0,18,0,0
2285,1526,152,1573,316,9,11,1,47,164,1,18,0,0
2286,1518,154,1567,323,9,11,1,49,169,2,18,0,0
2287,1507,151,1558,323,9,11,1,51,172,3,18,0,0
2288,1499,153,1550,327,9,11,1,51,174,4,18,0,0
2289,1492,157,1543,330,9,11,1,51,173,5,18,0,0
2290,1484,155,1536,332,9,11,1,52,177,6,18,0,0
2291,1474,158,1527,335,9,11,1,53,177,7,18,0,0
2292,1461,161,1515,338,9,11,1,54,177,8,18,0,0
2293,1446,158,1501,338,9,11,1,55,180,9,18,0,0
2294,1427,159,1484,342,9,11,1,57,183,10,18,0,0
2295,1410,158,1468,346,9,11,1,58,188,11,18,0,0
2296,1386,158,1445,343,9,11,1,59,185,12,18,0,0
2297,1366,161,1427,340,9,11,1,61,179,13,18,0,0
2298,1335,163,1392,334,9,11,1,57,171,14,18,0,0
2299,1304,159,1362,331,9,11,1,58,172,15,18,0,0
2300,1283,161,1345,335,9,11,1,62,174,16,18,0,0
2301,1260,162,1321,336,9,11,1,61,174,17,18,0,0
2302,1243,163,1304,338,9,11,1,61,175,18,18,0,0
3400,705,457,1315,1072,10,11,1,610,615,0,1,0,0
3401,721,411,1376,1071,10,11,1,655,660,1,1,0,0
3401,929,440,1140,983,11,11,1,211,543,0,25,0,1
3402,952,404,1175,978,11,11,1,223,574,1,25,0,0
3403,989,386,1199,929,11,11,1,210,543,2,25,0,0
3404,1033,358,1222,848,11,11,1,189,490,3,25,0,0
3405,1064,347,1246,817,11,11,1,182,470,4,25,0,0
3406,1094,329,1265,769,11,11,1,171,440,5,25,0,0
3407,1112,314,1273,729,11,11,1,161,415,6,25,0,0
3408,1134,304,1289,707,11,11,1,155,403,7,25,0,0
3409,1162,289,1305,659,11,11,1,143,370,8,25,0,0
3410,1178,282,1319,647,11,11,1,141,365,9,25,0,0
3411,1187,269,1321,616,11,11,1,134,347,10,25,0,0
3412,1196,256,1328,595,11,11,1,132,339,11,25,0,0
3413,1211,251,1338,582,11,11,1,127,331,12,25,0,0
3414,1228,242,1348,554,11,11,1,120,312,13,25,0,0
3415,1242,240,1356,541,11,11,1,114,301,14,25,0,0
3416,1252,234,1361,522,11,11,1,109,288,15,25,0,0
3417,1260,229,1365,506,11,11,1,105,277,16,25,0,0
3418,1270,229,1371,497,11,11,1,101,268,17,25,0,0
3419,1280,221,1375,471,11,11,1,95,250,18,25,0,0
3420,1285,217,1378,464,11,11,1,93,247,19,25,0,0
3421,1285,211,1376,451,11,11,1,91,240,20,25,0,0
3422,1280,207,1368,437,11,11,1,88,230,21,25,0,0
3423,1269,205,1356,433,11,11,1,87,228,22,25,0,0
3424,1259,201,1344,428,11,11,1,85,227,23,25,0,0
3425,1256,202,1335,416,11,11,1,79,214,24,25,0,0
3426,1259,197,1333,402,11,11,1,74,205,25,25,1,0
3728,404,869,591,1072,15,11,1,187,203,0,0,0,0
3729,519,808,762,1075,16,11,1,243,267,0,39,0,1
3730,575,733,888,1077,16,11,1,313,344,1,39,0,0
3731,612,669,984,1079,16,11,1,372,410,2,39,0,0
3732,642,618,1056,1076,16,11,1,414,458,3,39,0,0
3733,684,564,1141,1078,16,11,1,457,514,4,39,0,0
3734,741,520,1226,1079,16,11,1,485,559,5,39,0,0
3735,794,493,1284,1075,16,11,1,490,582,6,39,0,0
3736,855,461,1326,1041,16,11,1,471,580,7,39,0,0
3737,886,427,1369,1043,16,11,1,483,616,8,39,0,0
3738,933,402,1384,997,16,11,1,451,595,9,39,0,0
3739,990,380,1386,922,16,11,1,396,542,10,39,0,0
3740,1041,370,1396,877,16,11,1,355,507,11,39,0,0
3741,1081,353,1409,843,16,11,1,328,490,12,39,0,0
3742,1115,338,1413,795,16,11,1,298,457,13,39,0,0
3743,1136,327,1420,776,16,11,1,284,449,14,39,0,0
3744,1170,313,1424,729,16,11,1,254,416,15,39,0,0
3745,1203,301,1437,698,16,11,1,234,397,16,39,0,0
3746,1225,296,1449,689,16,11,1,224,393,17,39,0,0
3747,1251,282,1458,659,16,11,1,207,377,18,39,0,0
3748,1268,276,1462,638,16,11,1,194,362,19,39,0,0
3749,1282,268,1466,623,16,11,1,184,355,20,39,0,0
3750,1299,257,1470,595,16,11,1,171,338,21,39,0,0
3751,1314,253,1475,581,16,11,1,161,328,22,39,0,0
3752,1330,248,1485,574,16,11,1,155,326,23,39,0,0
3753,1345,240,1488,547,16,11,1,143,307,24,39,0,0
3754,1352,237,1490,539,16,11,1,138,302,25,39,0,0
3755,1357,234,1490,527,16,11,1,133,293,26,39,0,0
3756,1365,231,1489,510,16,11,1,124,279,27,39,0,0
3757,1367,222,1486,497,16,11,1,119,275,28,39,0,0
3758,1369,222,1483,491,16,11,1,114,269,29,39,0,0
3759,1363,215,1474,478,16,11,1,111,263,30,39,0,0
3760,1360,215,1466,468,16,11,1,106,253,31,39,0,0
3761,1350,210,1450,452,16,11,1,100,242,32,39,0,0
3762,1337,208,1431,438,16,11,1,94,230,33,39,0,0
3763,1324,207,1416,436,16,11,1,92,229,34,39,0,0
3764,1306,203,1396,429,16,11,1,90,226,35,39,0,0
3765,1290,202,1375,419,16,11,1,85,217,36,39,0,0
3766,1276,201,1363,418,16,11,1,87,217,37,39,0,0
3767,1255,198,1339,414,16,11,1,84,216,38,39,0,0
3768,1247,194,1329,404,16,11,1,82,210,39,39,1,0
3736,1218,420,1443,1067,17,11,1,225,647,0,34,0,1
3737,1246,394,1464,1021,17,11,1,218,627,1,34,0,0
3738,1270,372,1479,972,17,11,1,209,600,2,34,0,0
3739,1294,366,1494,939,17,11,1,200,573,3,34,0,0
3740,1310,354,1493,883,17,11,1,183,529,4,34,0,0
3741,1323,327,1493,816,17,11,1,170,489,5,34,0,0
3742,1335,318,1500,795,17,11,1,165,477,6,34,0,0
3743,1355,293,1511,742,17,11,1,156,449,7,34,0,0
3744,1371,285,1520,717,17,11,1,149,432,8,34,0,0
3745,1377,280,1522,704,17,11,1,145,424,9,34,0,0
3746,1382,267,1516,661,17,11,1,134,394,10,34,0,0
3747,1388,260,1519,645,17,11,1,131,385,11,34,0,0
3748,1402,249,1529,624,17,11,1,127,375,12,34,0,0
3749,1413,240,1536,602,17,11,1,123,362,13,34,0,0
3750,1425,236,1545,595,17,11,1,120,359,14,34,0,0
3751,1435,232,1553,589,17,11,1,118,357,15,34,0,0
3752,1446,225,1554,555,17,11,1,108,330,16,34,0,0
3753,1454,218,1561,546,17,11,1,107,328,17,34,0,0
3754,1462,214,1564,528,17,11,1,102,314,18,34,0,0
3755,1472,208,1568,505,17,11,1,96,297,19,34,0,0
3756,1477,208,1569,495,17,11,1,92,287,20,34,0,0
3757,1472,205,1559,477,17,11,1,87,272,21,34,0,0
3758,1464,202,1547,459,17,11,1,83,257,22,34,0,0
