frame_num,x1,y1,x2,y2,track,hour,camera
681,3,766,274,1077,1,11,15
682,85,707,406,1077,1,11,15
683,182,670,528,1069,1,11,15
684,303,626,682,1066,1,11,15
685,415,572,815,1043,1,11,15
686,506,536,931,1046,1,11,15
687,581,495,1040,1058,1,11,15
688,661,452,1146,1067,1,11,15
689,735,430,1222,1068,1,11,15
690,830,405,1281,1018,1,11,15
691,899,377,1332,988,1,11,15
692,960,360,1370,958,1,11,15
693,1044,343,1406,893,1,11,15
694,1099,344,1430,858,1,11,15
695,1153,333,1464,827,1,11,15
696,1223,322,1512,807,1,11,15
697,1291,299,1583,787,1,11,15
697,1303,666,1397,802,2,11,15
739,155,662,393,1078,3,11,15
740,320,578,574,1071,4,11,15
741,480,524,830,1075,5,11,15
742,575,480,947,1068,5,11,15
743,635,426,1037,1069,5,11,15
744,724,397,1137,1068,5,11,15
745,835,365,1233,1025,5,11,15
746,934,338,1326,1000,5,11,15
747,1035,322,1388,933,5,11,15
748,1111,307,1440,888,5,11,15
749,1172,301,1481,859,5,11,15
750,1244,279,1550,831,5,11,15
986,1364,230,1434,505,6,11,15
987,1337,230,1408,504,6,11,15
988,1309,229,1380,499,6,11,15
989,1285,221,1354,475,6,11,15
990,1257,214,1331,481,6,11,15
991,1238,209,1310,469,6,11,15
992,1224,200,1295,450,6,11,15
993,1215,197,1289,447,6,11,15
994,1208,196,1276,423,6,11,15
995,1202,191,1270,411,6,11,15
996,1197,188,1263,400,6,11,15
997,1193,177,1261,391,6,11,15
998,1192,175,1262,397,6,11,15
999,1194,173,1263,390,6,11,15
1000,1198,172,1263,376,6,11,15
1001,1200,173,1263,367,6,11,15
1002,1202,169,1264,358,6,11,15
1003,1204,169,1264,347,6,11,15
1004,1209,166,1267,337,6,11,15
1005,1210,156,1270,330,6,11,15
1006,1209,155,1268,328,6,11,15
1007,1209,154,1267,320,6,11,15
1008,1209,153,1265,313,6,11,15
1009,1209,152,1265,309,6,11,15
1010,1208,151,1264,306,6,11,15
1011,1205,150,1260,304,6,11,15
1012,1203,145,1258,297,6,11,15
1013,1203,146,1256,293,6,11,15
1014,1204,145,1256,287,6,11,15
1015,1203,139,1255,283,6,11,15
1016,1202,139,1253,280,6,11,15
1017,1199,136,1248,273,6,11,15
1018,1195,133,1244,270,6,11,15
1019,1190,133,1238,267,6,11,15
1020,1181,133,1227,260,6,11,15
1021,1179,131,1223,255,6,11,15
1707,1377,189,1442,520,7,11,15
1708,1349,187,1413,506,7,11,15
1709,1333,183,1398,500,7,11,15
1710,1307,180,1373,497,7,11,15
1711,1278,178,1345,486,7,11,15
1712,1265,163,1334,472,7,11,15
1713,1251,160,1327,491,7,11,15
1714,1239,161,1312,472,7,11,15
1715,1222,149,1293,446,7,11,15
1716,1214,149,1286,439,7,11,15
1717,1211,148,1283,431,7,11,15
1718,1208,144,1279,415,7,11,15
1719,1206,146,1275,404,7,11,15
1720,1200,146,1270,400,7,11,15
1721,1199,141,1266,380,7,11,15
1722,1203,143,1268,372,7,11,15
1723,1204,141,1270,365,7,11,15
1724,1208,141,1273,358,7,11,15
1725,1208,141,1274,357,7,11,15
1726,1207,137,1274,356,7,11,15
1727,1208,135,1275,348,7,11,15
1728,1211,135,1276,341,7,11,15
1729,1215,133,1279,337,7,11,15
1730,1217,132,1280,326,7,11,15
1731,1216,135,1276,317,7,11,15
1732,1215,129,1279,320,7,11,15
1733,1217,130,1281,320,7,11,15
1734,1220,126,1285,320,7,11,15
1735,1221,125,1283,309,7,11,15
1736,1221,127,1282,306,7,11,15
1737,1220,122,1280,300,7,11,15
1738,1221,119,1281,297,7,11,15
1739,1222,119,1282,296,7,11,15
1740,1224,117,1284,292,7,11,15
1741,1225,118,1284,290,7,11,15
1742,1221,118,1279,287,7,11,15
1743,1217,117,1275,286,7,11,15
1744,1216,115,1271,273,7,11,15
1745,1215,117,1269,268,7,11,15
1746,1211,112,1267,272,7,11,15
1747,1210,111,1265,268,7,11,15
1748,1198,114,1249,257,7,11,15
1749,1194,111,1236,222,7,11,15
1750,1192,109,1231,213,7,11,15
1751,1181,117,1216,211,7,11,15
1752,1177,117,1210,203,7,11,15
2281,0,788,204,1071,8,11,15
2282,105,732,343,1075,9,11,15
2283,251,681,516,1074,10,11,15
2284,337,620,644,1075,10,11,15
2284,0,914,78,1076,11,11,15
2285,424,588,746,1068,10,11,15
2285,1,806,215,1077,12,11,15
2286,525,550,870,1070,10,11,15
2286,108,750,352,1072,13,11,15
2287,591,497,966,1069,10,11,15
2287,236,683,523,1076,14,11,15
2288,662,467,1047,1068,10,11,15
2288,315,631,636,1073,14,11,15
2289,721,433,1119,1069,10,11,15
2289,379,586,730,1072,14,11,15
2290,793,395,1174,1024,10,11,15
2290,443,528,831,1073,14,11,15
2291,855,375,1227,1002,10,11,15
2291,524,497,925,1070,14,11,15
2292,913,359,1262,960,10,11,15
2292,590,461,1001,1066,14,11,15
2293,998,340,1323,916,10,11,15
2293,664,429,1070,1046,14,11,15
2294,1046,338,1360,904,10,11,15
2294,732,414,1125,1027,14,11,15
2295,1133,331,1416,856,10,11,15
2295,827,383,1192,975,14,11,15
2296,1197,329,1462,835,10,11,15
2296,914,370,1253,930,14,11,15
2297,1239,397,1459,821,10,11,15
2297,969,361,1296,910,14,11,15
2298,1300,389,1514,803,10,11,15
2298,1064,348,1370,880,14,11,15
2299,1126,345,1424,880,14,11,15
2300,1186,339,1466,853,14,11,15
2301,1250,319,1531,836,14,11,15
3388,1188,135,1231,264,15,11,15
3389,1196,131,1238,257,15,11,15
3390,1206,131,1250,264,15,11,15
3391,1216,135,1261,269,15,11,15
3392,1224,137,1270,274,15,11,15
3393,1229,137,1276,277,15,11,15
3394,1234,134,1284,282,15,11,15
3395,1240,137,1289,285,15,11,15
3396,1245,141,1295,290,15,11,15
3397,1252,143,1303,292,15,11,15
3398,1258,146,1311,298,15,11,15
3399,1260,148,1315,303,15,11,15
3400,1265,150,1320,304,15,11,15
3401,1268,150,1325,313,15,11,15
3402,1272,149,1330,314,15,11,15
3403,1273,149,1333,321,15,11,15
3404,1272,147,1335,327,15,11,15
3405,1272,148,1337,333,15,11,15
3406,1270,153,1336,344,15,11,15
3407,1271,157,1337,346,15,11,15
3408,1272,162,1340,356,15,11,15
3409,1273,169,1342,366,15,11,15
3410,1269,173,1341,372,15,11,15
3411,1269,177,1343,383,15,11,15
3412,1273,178,1349,389,15,11,15
3413,1276,182,1355,397,15,11,15
3414,1274,186,1356,407,15,11,15
3415,1270,185,1354,413,15,11,15
3416,1269,195,1355,429,15,11,15
3417,1272,198,1358,433,15,11,15
3418,1276,202,1364,444,15,11,15
3419,1275,206,1370,463,15,11,15
3420,1275,208,1371,465,15,11,15
3421,1279,215,1376,477,15,11,15
3422,1288,218,1389,489,15,11,15
3423,1305,226,1409,502,15,11,15
3424,1321,233,1430,522,15,11,15
3425,1342,240,1450,539,15,11,15
3426,1348,244,1458,549,15,11,15
3426,1382,423,1418,534,16,11,15
3720,1175,128,1209,256,17,11,15
3721,1181,124,1216,256,17,11,15
3722,1183,124,1215,242,17,11,15
3723,1185,124,1216,237,17,11,15
3723,1202,128,1258,261,18,11,15
3724,1229,131,1263,252,17,11,15
3724,1190,126,1250,267,18,11,15
3725,1239,135,1275,265,17,11,15
3725,1197,125,1259,272,18,11,15
3726,1248,139,1285,272,17,11,15
3726,1198,132,1255,270,18,11,15
3727,1256,138,1295,275,17,11,15
3727,1199,129,1261,279,18,11,15
3728,1261,138,1302,282,17,11,15
3728,1200,128,1264,285,18,11,15
3729,1266,140,1307,282,17,11,15
3729,1200,131,1260,280,18,11,15
3730,1268,141,1310,285,17,11,15
3730,1198,131,1258,283,18,11,15
3731,1268,141,1311,289,17,11,15
3731,1195,132,1256,290,18,11,15
3732,1268,141,1313,291,17,11,15
3732,1193,135,1254,294,18,11,15
3733,1268,145,1313,295,17,11,15
3733,1190,134,1251,294,18,11,15
3734,1268,147,1314,297,17,11,15
3734,1188,133,1249,296,18,11,15
3735,1266,148,1314,301,17,11,15
3735,1187,137,1247,300,18,11,15
3736,1262,151,1310,305,17,11,15
3736,1188,138,1247,301,18,11,15
3737,1258,154,1306,307,17,11,15
3737,1186,139,1246,305,18,11,15
3738,1254,155,1303,309,17,11,15
3738,1183,142,1243,309,18,11,15
3739,1251,156,1302,312,17,11,15
3739,1179,142,1241,314,18,11,15
3740,1249,153,1304,321,17,11,15
3740,1177,143,1239,318,18,11,15
3741,1246,157,1303,332,17,11,15
3741,1177,146,1239,323,18,11,15
3742,1244,162,1300,335,17,11,15
3742,1175,148,1239,330,18,11,15
3743,1240,161,1299,339,17,11,15
3743,1171,150,1237,337,18,11,15
3744,1237,165,1298,349,17,11,15
3744,1168,150,1234,340,18,11,15
3745,1234,166,1297,357,17,11,15
3745,1165,150,1233,348,18,11,15
3746,1229,169,1294,362,17,11,15
3746,1161,155,1230,356,18,11,15
3747,1223,172,1289,372,17,11,15
3747,1159,156,1228,361,18,11,15
3748,1215,173,1284,381,17,11,15
3748,1154,161,1225,370,18,11,15
3749,1211,174,1281,382,17,11,15
3749,1148,164,1221,382,18,11,15
3750,1209,176,1279,386,17,11,15
3750,1141,162,1215,386,18,11,15
3751,1205,174,1276,389,17,11,15
3751,1136,163,1212,390,18,11,15
3752,1201,177,1274,397,17,11,15
3752,1132,166,1207,392,18,11,15
3753,1195,184,1269,406,17,11,15
3753,1124,168,1200,395,18,11,15
3754,1187,183,1264,416,17,11,15
3754,1116,172,1192,400,18,11,15
3755,1188,189,1264,412,17,11,15
3755,1108,175,1187,411,18,11,15
3756,1184,190,1267,427,17,11,15
3756,1098,175,1180,421,18,11,15
3757,1179,191,1265,435,17,11,15
3757,1092,178,1176,433,18,11,15
3758,1181,194,1265,437,17,11,15
3758,1093,185,1177,441,18,11,15
3759,1182,202,1268,448,17,11,15
3759,1093,184,1179,447,18,11,15
3760,1189,205,1277,457,17,11,15
3760,1094,190,1184,463,18,11,15
3761,1191,213,1286,482,17,11,15
3761,1095,189,1190,480,18,11,15
3762,1200,213,1303,509,17,11,15
3762,1101,188,1202,495,18,11,15
3763,1226,219,1324,499,17,11,15
